path,dclass,category
DogsImages\affenpinscher\sample_18242.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18243.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18244.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18245.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18246.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18247.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18248.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18249.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18250.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18251.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18252.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18253.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18254.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18255.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18256.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18257.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18258.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18259.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18260.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18261.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18262.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18263.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18264.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18265.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18266.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18267.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18268.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18269.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18270.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18271.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18272.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18273.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18274.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18275.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18276.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18277.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18278.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18279.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18280.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18281.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18282.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18283.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18284.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18285.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18286.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18287.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18288.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18289.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18290.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18291.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18292.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18293.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18294.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18295.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18296.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18297.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18298.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18299.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18300.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18301.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18302.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18303.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18304.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18305.jpg,affenpinscher,74
