annotation,folder,filename,source,database,size,width,height,depth,segment,object,name,pose,truncated,difficult,bndbox,xmin,ymin,xmax,ymax
,02085620,n02085620_10074,,ImageNet database,,333,500,3,,,Chihuahua,Unspecified,0,0,,25,10,276,498
,02085620,n02085620_10131,,ImageNet database,,395,495,3,,,Chihuahua,Unspecified,0,0,,49,9,393,493
,02085620,n02085620_10621,,ImageNet database,,500,298,3,,,Chihuahua,Unspecified,0,0,,142,43,335,250
,02085620,n02085620_1073,,ImageNet database,,345,500,3,,,Chihuahua,Unspecified,0,0,,0,27,312,498
,02085620,n02085620_10976,,ImageNet database,,322,484,3,,,Chihuahua,Unspecified,0,0,,90,104,242,452
,02085620,n02085620_11140,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,17,38,451,253
,02085620,n02085620_11238,,ImageNet database,,382,384,3,,,Chihuahua,Unspecified,0,0,,39,191,145,383
,02085620,n02085620_11258,,ImageNet database,,375,500,3,,,Chihuahua,Unspecified,0,0,,76,30,363,375
,02085620,n02085620_11337,,ImageNet database,,300,225,3,,,Chihuahua,Unspecified,0,0,,59,37,229,179
,02085620,n02085620_11477,,ImageNet database,,887,629,3,,,Chihuahua,Unspecified,0,0,,317,95,558,459
,02085620,n02085620_1152,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,3,81,156,225
,02085620,n02085620_1152,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,147,65,323,324
,02085620,n02085620_1152,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,391,111,437,167
,02085620,n02085620_11696,,ImageNet database,,800,600,3,,,Chihuahua,Unspecified,0,0,,211,0,696,516
,02085620,n02085620_11818,,ImageNet database,,375,500,3,,,Chihuahua,Unspecified,0,0,,121,90,302,343
,02085620,n02085620_11948,,ImageNet database,,500,464,3,,,Chihuahua,Unspecified,0,0,,0,16,461,436
,02085620,n02085620_1205,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,146,0,350,239
,02085620,n02085620_12101,,ImageNet database,,380,253,3,,,Chihuahua,Unspecified,0,0,,5,4,350,252
,02085620,n02085620_12334,,ImageNet database,,299,415,3,,,Chihuahua,Unspecified,0,0,,159,186,250,330
,02085620,n02085620_1235,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,194,111,275,299
,02085620,n02085620_1271,,ImageNet database,,360,351,3,,,Chihuahua,Unspecified,0,0,,19,3,324,350
,02085620,n02085620_12718,,ImageNet database,,333,500,3,,,Chihuahua,Unspecified,0,0,,26,42,304,487
,02085620,n02085620_1298,,ImageNet database,,480,333,3,,,Chihuahua,Unspecified,0,0,,151,94,438,230
,02085620,n02085620_13151,,ImageNet database,,500,336,3,,,Chihuahua,Unspecified,0,0,,176,29,379,333
,02085620,n02085620_1321,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,111,42,248,314
